user_id,hub_id,title,description,start_time,end_time,location_name,address,capacity,photo,price
8,1,Morning Hatha Yoga & Pranayama on the Beach,"Come wake up your mind, body, and soul with a Hatha flow on the beatiful beaches of Canggu",2019-11-18 7:30,2019-11-18 8:30,Batu Bolong Beach,"Pantai Batu Bolong St, Canggu, North Kuta, Badung Regency, Bali",10,https://res.cloudinary.com/le-wagon1234/image/upload/v1572929574/Beach-yoga13-SFW-sharp_kvnbte.jpg,10
2,1,Kundalini Yoga at Canggu Villa,"This class will include warm-ups, breathing techniques (pranayama), an exercise set (kriya), deep relaxation, chanting, and meditation. This practice helps to balance the glandular system, strengthen the nervous system, expand lung capacity, and purify the blood.",2019-11-18 10:00,2019-11-18 11:30,Villa Eden,"77 Jalan Raya Kayutulang Gang Joya, 80351 Canggu, Indonesia ",5,https://res.cloudinary.com/le-wagon1234/image/upload/v1572929391/kundalini_event_pm6oif.png,5
2,1,Showing Up: Integrated Men and Women's Circle,"Have the opportunity to explore and discuss life themes with fellow members of your gender and with the unique opportunity to “show up” for members of the opposite sex as we integrate a men and women’s circle together to allow us to support, share, and see each other as one collective group.",2019-11-19 17:30,2019-11-19 19:30,ZIN Cafe Canggu,"Jl. Nelayan No.78F, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",30,https://res.cloudinary.com/le-wagon1234/image/upload/v1573628602/r3bkbjwkl7krxplhlpqs.jpg,0
7,1,Free Flow Ecstatic Dance,"An ecstatic dance journey of movement, breath and music",2019-11-19 18:00,2019-11-19 20:00,Samadi Bali Canggu,"Jl. Nelayan No.78F, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",40,https://res.cloudinary.com/le-wagon1234/image/upload/v1573618579/Ecstatic_20Dance_20in_20Bali_hrikd4.jpg,8
8,1,Sound Healing Journey,"With the use Tibetan Singing Bowls and Crystal Bowls, energy is shifted throughout the body to create calmness, grounding, and clarity. The vibrations create and inspire a feeling of deep relaxation and opening of the inner space. Come and experience a depth of energy & expansion that is profound.",2019-11-19 19:00,2019-11-19 21:00,Lotus Villa,"Jl. Tirta Tawar No.Br, Junjungan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",10,https://res.cloudinary.com/le-wagon1234/image/upload/v1572929877/sound_healing_fweqed.jpg,15
4,1,Free Guided Morning Meditation,"Get your day started on the right mental and emotional track. To support positive community growth, I'm offering this free morning meditations class.",2019-11-20 7:30,2019-11-20 8:30,Villa Amrita,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",15,https://res.cloudinary.com/le-wagon1234/image/upload/v1572930627/zen-resort-meditation_wrcvaz.jpg,0
3,1,Poolside Hatha Flow at Gorgeous Villa,"Enjoy a traditional Hatha flow surrounding a tranquil pool, while overlooking the beautiful Ubud greenery",2019-11-20 15:00,2019-11-20 16:30,Villa Shambhala,"Jalan Raya Andong No.72 ZX, Peliatan, Ubud, Gianyar, Petulu, Kecamatan Ubud, Denpasar, Bali",8,https://res.cloudinary.com/le-wagon1234/image/upload/v1572930437/villa_ubud_wkxtmk.jpg,10
3,1,Full Moon Kirtan,"Join us for a heart opening evening of devotion honoring the sacred transformations of reawakening. Kirtan is a form of devotional chanting whose roots go back to India over 500 years. It is a form of Bhakti Yoga (yoga of devotion) and has the power to open the heart. The singing is accompanied by musical instruments and rhythmic drumming while the audience is encouraged to participate by chanting, clapping and dancing. Explore kirtan and bhajans, connecting with the qualities of Indian deities.",2019-11-20 19:00,2019-11-20 20:00,Shamhala Shala,"Jl. Nelayan No.78F, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",20,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620729/pure-kirtan-6_yea9jy.jpg,0
6,1,Art Therapy through Mandala,"Designing and coloring mandalas can help you focus your attention, great exercise for calming down your stressed and waking up your mind. They help with balance, bring peace and tranquility, built your concentration, make it easier to be mindful, push aside thought and let your creativity flow. Looking at them will give you feeling of calmness.",2019-11-21 16:30,2019-11-21 18:00,Como Beach Club,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",15,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620399/img_13f0fbb9236329867df5ba230a9a1698_1546255813155_processed_original_jsbs89.jpg,10
6,1,Sunset Beach Hatha Yoga,Come join me for a beachside hatha flow at sunset,2019-11-21 17:30,2019-11-21 19:00,Echo Beach,"Pantai Batu Bolong St, Canggu, North Kuta, Badung Regency, Bali",12,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620020/40160103_1979091415488618_9016712156330065920_o.jpg_ovooef.jpg,5
6,1,Ocean of Oneness Yin Yoga & Sound Healing,Immerse yourself in an 'ocean of oneness' relaxing and opening therapeutically through a series of deeply held yin postures that will soothe your soul.,2019-11-22 11:00,2019-11-22 13:00,The Practice,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",25,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620806/2f6ca29f-9483-4e88-8d67-e02f58de5378_ql10io.jpg,12
9,1,Pranayama & Meditation Workshop ,"Students will  explore breathing yogic breathing and pranayama technique; learn about Tantra Yoga Philosophy, Hatha Yoga, the chakra system and the subtle body and discuss the purpose of pranayama in yoga practice. There will be time to practice different breathing exercises and various pranayama techniques. This workshop is suitable for all levels.",2019-11-22 12:00,2019-11-22 14:00,Asana Villa Canggu,"Jl. Tirta Tawar No.Br, Junjungan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",15,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620875/group-of-young-sporty-people-making-alternate-nostril-breathing-846236716-5ad53edeff1b7800378f7ce2_trqwz6.jpg,20
9,1,Intro to Ayurveda (The Science of Life),"Ayurveda – the sister science of yoga, is the holistic medical system of ancient India and offers much more than simple remedies of ailments, it’s a science of putting one’s life into balance with greater nature. In this workshop we will establish a solid understanding of core Ayurveda teachings, as well as individual practical applications that will enhance one’s wellbeing and vitality.",2019-11-23 12:00,2019-11-23 15:00,Lewara Villa,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",20,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620942/ayurveda-beauty-india_zsbn4v.jpg,30
10,2,Cacao Ceremony,"Join us for a heart opening evening of devotion honoring the sacred transformations of reawakening. Kirtan is a form of devotional chanting whose roots go back to India over 500 years. It is a form of Bhakti Yoga (yoga of devotion) and has the power to open the heart. The singing is accompanied by musical instruments and rhythmic drumming while the audience is encouraged to participate by chanting, clapping and dancing. Explore kirtan and bhajans, connecting with the qualities of Indian deities.",2019-11-20 15:00,2019-11-20 16:30,Asana Villa Ubud,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",8,https://res.cloudinary.com/le-wagon1234/image/upload/v1573629065/cacao-ceremony-florencia_r9mv9e.jpg,5
4,2,Sound Healing Workshop,"With the use Tibetan Singing Bowls and Crystal Bowls, energy is shifted throughout the body to create calmness, grounding, and clarity. The vibrations create and inspire a feeling of deep relaxation and opening of the inner space. Come and experience a depth of energy & expansion that is profound.",2019-11-18 7:30,2019-11-18 8:30,Lotus Villa,"Jl. Tirta Tawar No.Br, Junjungan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",10,https://res.cloudinary.com/le-wagon1234/image/upload/v1573621711/sound_healing-1200x628-facebook_jscfkk.jpg,15
5,2,Hatha Flow at Magical Ubud Villa,"Enjoy a traditional Hatha flow surrounding a tranquil pool, while overlooking the beautiful Ubud greenery",2019-11-18 10:00,2019-11-18 11:30,Villa Shambhala,"Jalan Raya Andong No.72 ZX, Peliatan, Ubud, Gianyar, Petulu, Kecamatan Ubud, Denpasar, Bali",8,https://res.cloudinary.com/le-wagon1234/image/upload/v1573621595/3aeb0c14-72c9-4c6c-98fe-e255698eb7e6_xk0e8d.jpg,10
6,2,Free Guided Morning Meditation,"Get your day started on the right mental and emotional track. To support positive community growth, I'm offering this free morning meditations class.",2019-11-19 17:30,2019-11-19 19:30,Villa Amrita,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",15,https://res.cloudinary.com/le-wagon1234/image/upload/v1572930627/zen-resort-meditation_wrcvaz.jpg,0
3,2,Kirtan Under the Stars,"Join us for a heart opening evening of devotion honoring the sacred transformations of reawakening. Kirtan is a form of devotional chanting whose roots go back to India over 500 years. It is a form of Bhakti Yoga (yoga of devotion) and has the power to open the heart. The singing is accompanied by musical instruments and rhythmic drumming while the audience is encouraged to participate by chanting, clapping and dancing. Explore kirtan and bhajans, connecting with the qualities of Indian deities.",2019-11-19 18:00,2019-11-19 20:00,Shamhala Shala,"Jl. Nelayan No.78F, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",20,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620729/pure-kirtan-6_yea9jy.jpg,0
6,2,Poolside Yin Yoga & Sound Healing,Immerse yourself in an 'ocean of oneness' relaxing and opening therapeutically through a series of deeply held yin postures that will soothe your soul.,2019-11-19 19:00,2019-11-19 21:00,The Practice,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",25,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620806/2f6ca29f-9483-4e88-8d67-e02f58de5378_ql10io.jpg,12
9,2,Ayurveda Workshop,"Ayurveda – the sister science of yoga, is the holistic medical system of ancient India and offers much more than simple remedies of ailments, it’s a science of putting one’s life into balance with greater nature. In this workshop we will establish a solid understanding of core Ayurveda teachings, as well as individual practical applications that will enhance one’s wellbeing and vitality.",2019-11-20 7:30,2019-11-20 8:30,Lewara Villa,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571•0878-6108-4707",20,https://res.cloudinary.com/le-wagon1234/image/upload/v1573620942/ayurveda-beauty-india_zsbn4v.jpg,30
